Dirty Harry Callahan,solving crimes,DS
Bernard Madoff,running Ponzi schemes,CS
Pinocchio,lying badly,DS
Optimus Prime,foiling the schemes of evil villains,DS
Dorian Gray,gadding about town,DS
Conchita Wurst,cross-dressing in women's clothes,CS
Batman,maintaining a secret identity,DS
O.J. Simpson,playing golf,CS
Chewbacca,smuggling contraband,DS
Wilson Kingpin Fisk,grabbing power,DS
Friedrich Nietzsche,teaching philosophy,CS
Princess Diana,posing for photographs,CS + DS
Kylo Ren,working for the forces of darkness,DS
El Chappo,running a smuggling business,CS
Jason Bourne,eluding capture,DS
Vladimir Lenin,fighting for worker's rights,CS
Janet Jackson,writing pop songs,CS
Oscar Wilde,scandalizing polite society,CS
Nigel Tufnel,playing rock music,DS
Mark Fuhrman,commiting perjury,CS
Martin Luther King,fighting for civil rights,CS
Bernard Madoff,running pyramid schemes,CS + DS
El Chappo,running a crime family,CS
Woody Allen,starring in comedies,CS
Ray Charles,singing country music,CS
Scipio Africanus,developing military strategies,CS
Batman,solving crimes,DS
Cher,singing pop songs,CS
Krusty the Clown,pushing shoddy merchandise,DS
Yoda,promoting mysticism,DS
Gandalf the Grey,smoking herb,DS
Frank Underwood,plotting election strategies,DS
Jack Reacher,solving crimes,DS
Pope Benedict XVI,promoting conservative values,CS
Sinead O'Connor,writing pop songs,CS + DS
Mick Jagger,singing rock songs,CS
Nigel Tufnel,turning it up to 11,DS
Judge Joe Dredd,punishing criminals,DS
Jack Reacher,solving mysteries,DS
Kim Jung-un,issuing threats,CS
Nigel Tufnel,playing rock guitar,DS
Tony Stark,pioneering new technologies,DS
Chewbacca,piloting the Millenium Falcon,DS
Stewie Griffin,inventing time machines,DS
Harvey Weinstein,seducing women,CS
Helen of Troy,preparing for war,DS
Woody Allen,playing the clarinet,CS
Tyra Banks,modeling clothes,CS
Mick Jagger,gyrating hips,CS
Judge Joe Dredd,solving crimes,DS
Professor Charles Xavier,promoting tolerance,DS
Stewie Griffin,pioneering new technologies,DS
Rush Limbaugh,ranting about liberals,CS
Fred Astaire,enjoying ball-room dancing,CS
Pope Benedict XVI,promoting Catholic values,CS
John Merrick,working in a freak show,CS
Fred Astaire,starring in romantic comedies,CS
Katy Perry,singing pop songs,CS + DS
Neil Armstrong,collecting rock samples,CS
Frank Underwood,manipulating political pawns,DS
Leroy Jethro Gibbs,interpreting evidence,DS
Professor Charles Xavier,reading minds,DS
Michael O'Leary,promoting air travel,CS + DS
Monica Lewinsky,conducting illicit affairs,CS
Helen of Troy,worrying about adultery,DS
Monica Lewinsky,doing diet commercials,CS
Mae West,starring in Hollywood movies,CS
