Superman,fighting for justice,DS
Thomas Neo Anderson,hacking into corporate mainframes,DS
Wilbur Wright,promoting new technologies,CS
Matt Groening,writing TV comedies,CS
Che Guevara,promoting communism,CS
Steve Jobs,running a hardware company,CS
Tyler Durden,causing mayhem,DS
Zac Efron,starring in Hollywood movies,CS
Commissioner James Gordon,arresting criminals ,DS
Walt Longmire,interpreting evidence,CS
Lord Byron,scandalizing polite society,CS
Tony DiNozzo,interpreting evidence,DS
P. T. Barnum,selling tickets,CS
Buzz Aldrin,collecting rock samples,CS
Harvey Dent,tempting fate,DS
Frank Columbo,pursuing criminals,DS
Yoda,fighting for the resistance,DS
Marcel Duchamp,making subversive art,CS
Mr. Krabs,selling fast food,DS
Tom Wolfe,writing modern fiction,CS
Jean-Paul Sartre,popping amphetamines,CS
Rick Sanchez,pioneering new technologies,DS
Jean-Paul Sartre,smoking Boyard cigarettes,CS
Howard Hughes,running a movie studio,CS
Simon Cowell,promoting pop music,CS + DS
Noah,building a wooden ark,CS
Winona Ryder,starring in Hollywood movies,CS + DS
Gandalf the Grey,blowing smoke rings,DS
Morgana Le Fay,performing magic tricks,DS
Martin Luther King,fighting for democracy,CS + DS
Bridget Jones,keeping a diary,DS
Saint Paul,promoting conservative values,CS + DS
Buffy Summers,hunting monsters,DS
Jeremy Clarkson,test-driving cars,CS
Jerry Maguire,promoting greed,DS
Bruce Wayne,running a multinational corporation,DS
Sammy Davis Jr.,singing pop songs,CS + DS
Inspector Jacques Clouseau,interpreting evidence,DS
Wyatt Earp,preventing crime,CS
Boudicca,leading revolts,CS + DS
Truman Capote,coining sparkling witticisms,CS
Ray Kroc,selling franchises,CS + DS
Steve Jobs,pioneering new technologies,CS
Neil Armstrong,collecting rock samples,CS
Borat,interviewing politicians,DS
Sean Hannity,interviewing politicians,CS
Barney Gumble,drinking one's life away,DS
Newt Gingrich,running for the presidency,CS
Jack Bauer,preventing terrorism,DS
Ray Kroc,selling fast food,CS
Tina Turner,gyrating hips,CS
Daenerys Targaryen,running a kingdom,DS
Zac Efron,making insipid musicals,CS + DS
Rihanna,singing pop songs,CS
G. Gordon Liddy,ranting about liberals,CS
Dr. Dre,writing rap songs,CS
Oscar Wilde,writing plays,CS
Martin Luther King,promoting racial harmony,CS
Yoda,duelling acrobatically,DS
Neil Armstrong,going for a spacewalk,CS
Han Solo,doing the Kessel run,DS
General Zod,devising evil schemes,DS
Rush Limbaugh,promoting conservative values,CS
Obi-wan Kenobi,rescuing damsels in distress,DS
Edward Scissorhands,making ice sculptures,DS
Jack Nicholson,starring in Hollywood movies,CS
Woody Allen,worrying about health,CS
Buddy Holly,writing pop songs,CS
Catherine The Great,running a kingdom,CS + DS
Mae West,making lewd remarks,CS
Mr. Spock,promoting science,DS
Emmeline Pankhurst ,promoting feminism,CS
Charlie Harper,seducing young women,DS
Bruce Wayne,maintaining a secret identity,DS
Colin Farrell,making unauthorized sex tapes,CS
Colin Farrell,starring in Hollywood movies,CS
Marcel Duchamp,puncturing artistic sensibilities,CS
Perry Mason,solving crimes,DS
Christina Aguilera,singing pop songs,CS + DS
Dr. Greg House,twirling a cane,DS
George Michael,writing pop songs,CS
Neil Armstrong,staring at the moon,CS
Dr. Dre,producing Hipbop records,CS
Walt Disney,directing animated films,CS
Wyatt Earp,running a frontier town,CS
Hedda Hopper,ranting about liberals,CS
Daenerys Targaryen,ruling over subjects,DS
Richard Dawkins,promoting atheism,CS
Kim Jung-un,amassing nuclear weapons,CS
Deadpool,undermining authority,DS
Timothy McGee,interpreting evidence,DS
Lord Voldemort,devising evil schemes,DS
Le Chiffre,devising evil schemes,DS
Deadpool,making vulgar jokes,DS
Ed Wood,directing science fiction movies,CS
Katniss Everdeen,spreading revolution,DS
Walt Disney,running a media empire,CS
Jack Nicholson,womanizing,CS
Beetlejuice,practicing the Occult,DS
Rico Tubbs,solving crimes,DS
Charles Foster Kane,promoting yellow journalism,DS
John Travolta,starring in Hollywood movies,CS + DS
Oscar Wilde,writing short stories,CS
Grigori Rasputin,climbing social ladders,CS
John Constantine,smoking Silk Cut cigarettes,DS
Batman,pursuing criminals,DS
Perry Mason,solving mysteries,DS
Dr. John Watson,offering medical opinions,DS
Jeremy Clarkson,hosting automotive shows,CS + DS
Woody Allen,starring in comedies,CS
William the Conqueror,fighting with swords,CS
Charlie Harper,composing advertizing jingles,DS
Quentin Tarantino,making violent movies,CS
Richard Dawkins,ranting about religion,CS
Popeye,defending the weak,DS
Sauron,preparing for war,DS
Bob Cratchit,keeping accounts,DS
Steve Jobs,running a software company,CS + DS
Katniss Everdeen,fighting for justice,DS
Saga Norén,interpreting evidence,DS
Dr. Greg House,interpreting evidence,DS
Ariana Grande,writing pop songs,CS
Lance Armstrong,riding a bicycle,CS
William the Conqueror,ruling over subjects,CS
Dorian Gray,avoiding growing old,DS
Jeff Koons,selling kitsch,CS
Richard Dawkins,promoting Darwinism,CS
Catherine The Great,ruling over subjects,CS
Leon Trotsky,launching cultural revolutions,CS
Sterling Archer,going on commando missions,DS
Sitting Bull,instigating rebellion,CS
Gandalf the Grey,smoking herb,DS
Saga Norén,solving crimes,DS
Christina Aguilera,writing pop songs,CS
Woody Allen,starring in Hollywood movies,CS
Nancy Drew,interpreting evidence,DS
Samwise Gamgee,cooking a rabbit stew,DS
Dr. Greg House,solving mysteries,DS
Johannes Gutenberg,pioneering new technologies,CS
Mary Poppins,looking after children,DS
Ali G,interviewing politicians,DS
Optimus Prime,foiling the schemes of evil villains,DS
Cher,writing pop songs,CS + DS
Leon Trotsky,wielding political power,CS + DS
Sterling Archer,performing kung-fu moves,DS
Archimedes,proving math theorems,CS + DS
Sonny Crockett,solving crimes,DS
Lord Byron,writing romantic poetry,CS
Gustavo Fring,deep-frying chicken,DS
Alexander Fleming,studying science,CS + DS
Judas Iscariot,selling out,CS
Darth Maul,duelling acrobatically,DS
Spider-Man,maintaining a secret identity,DS
Amy Schumer,making vulgar jokes,CS
Jean-Paul Sartre,chain-smoking Gauloises Bleues,CS + DS
Marco Pierre White,cooking dinners,CS
Charlie Harper,dating young women,DS
Dexter Morgan,chasing murderers,DS
Pope Benedict XVI,promoting conservative values,CS
Harvey Dent,tossing coins,DS
Jason Bourne,eluding capture,DS
Howard Hughes,running an empire,CS
Joseph Smith,racking up marriages,CS
Boy George,singing pop songs,CS + DS
Michael O'Leary,running a budget airline,CS + DS
Orson Welles,writing Hollywood movies,CS
Jane Goodall,living amongst apes,CS + DS
Thomas Edison,developing new technologies,CS
Judge Judy Sheindlin,judging legal cases,CS
Selena Gomez,singing pop songs,CS
Diana Ross,writing pop songs,CS + DS
Obi-wan Kenobi,promoting mysticism,DS
Bridget Jones,counting calories,DS
Sophocles,writing plays,CS + DS
Tony DiNozzo,solving crimes,DS
Maximus Decimus Meridius,fighting in gladiator arenas,DS
Matt Daredevil Murdock,maintaining a secret identity,DS
Jesus Christ,preaching tolerance,CS
Commissioner James Gordon,pursuing criminals,DS
Ed Wood,making bad movies,CS
Mark Fuhrman,planting evidence,CS
Croesus,collecting treasures,CS + DS
Commissioner James Gordon,apprehending criminals,DS
Deadpool,punishing criminals,DS
Marco Pierre White,running restaurants,CS
Buffy Summers,killing demons,DS
Diana Ross,singing pop songs,CS
Warren Buffett,investing money,CS
Bette Davis,starring in Hollywood movies,CS
Ed Wood,directing bad movies,CS
Morgana Le Fay,casting magic spells,DS
Noah,surviving large-scale floods,CS + DS
Superman,foiling the schemes of evil villains,DS
Woody Allen,playing the clarinet,CS
Mad Max Rockatansky,avenging loved ones,DS
Bob Cratchit,performing office chores,DS
Severus Snape,studying magic tricks,DS
Barney Gumble,belching,DS
R2D2,fighting for the rebel alliance,DS
Walt Disney,making cartoons,CS
Erik Magneto Lehnsherr,devising evil schemes,DS
Lucille Ball,starring in madcap comedies,CS + DS
David Mamet,writing scripts,CS
Niccolò Machiavelli,currying favour,CS
Gianni Versace,flaunting foppish fashions,CS
Bridget Jones,drinking too much red wine,DS
Bernard Madoff,cheating clients,CS
Mark Fuhrman,commiting perjury,CS
Salman Rushdie,hiding from extremists,CS + DS
El Chappo,running a smuggling business,CS
Buzz Aldrin,staring at the moon,CS
Sherlock Holmes,solving crimes,DS
Deadpool,foiling the schemes of evil villains,DS
Professor Charles Xavier,teaching young mutants,DS
Pope Benedict XVI,ranting about liberals,CS
Erik Magneto Lehnsherr,preparing for war,DS
Henry Ford,mass-producing cars,CS
Spider-Man,pursuing criminals,DS
Henry Ford,making cars,CS
Marty McFly,traveling in time,DS
Ali G,interviewing celebrities,DS
Judge Joe Dredd,solving crimes,DS
John Rambo,fighting guerilla wars,DS
Saga Norén,finding clues,DS
Judge Joe Dredd,preventing crime,DS
Russell Brand,fomenting social revolution,CS
Yoda,promoting mysticism,DS
Warren Buffett,running a business empire,CS
Timothy McGee,hacking into computers,DS
Erik Magneto Lehnsherr,building an army,DS
Ali G,posing as a street thug,DS
Noah,managing large development projects,CS
Hillary Clinton,tolerating adultery,CS
Violet Baudelaire,inventing electrical marvels,DS
Superman,defending the weak,DS
Thomas Neo Anderson,nursing a messiah complex,DS
Morpheus,searching for the messiah,DS
Gandalf the Grey,performing magic tricks,DS
Tom Wolfe,writing serialized stories,CS
Dexter Morgan,revelling in blood spatter,DS
Larry Page,performing Web searches,CS + DS
Rico Tubbs,arresting drug dealers,DS
H.P. Lovecraft,writing purple prose,CS + DS
Morpheus,recruiting dissidents,DS
Ebenezer Scrooge,saving money,DS
Rico Tubbs,preventing crime,DS
Salman Rushdie,surviving fatwas,CS
Richard Dawkins,promoting science,CS
Inspector Jacques Clouseau,finding clues,DS
Martin Luther King,fighting for civil rights,CS
Timothy McGee,finding clues,DS
William Randolph Hearst,running a media empire,CS
Wernher von Braun,building rocket ships,CS
Napoleon Bonaparte,winning battles,CS
Freddy Krueger,terrorizing sleepers,DS
Walt Longmire,finding clues,CS
Jack The Ripper,terrorizing prostitutes,CS
Lucifer,laughing at God,DS
Grigori Rasputin,wielding political power,CS
Morgana Le Fay,studying magic tricks,DS
Lord Voldemort,striving for world domination,DS
Batman,tracking down criminals,DS
Che Guevara,promoting socialism,CS + DS
Sterling Archer,kicking ass,DS
Janet Jackson,writing pop songs,CS
Thomas Jefferson,campaigning for democracy,CS
Sammy Davis Jr.,writing pop songs,CS
Howard Hughes,building airplanes,CS + DS
King David,running a kingdom,CS
Ed Wood,writing bad movies,CS
Amy Winehouse,singing torch songs,CS
Harry Potter,performing magic tricks,DS
Bridget Jones,smoking cigarettes,DS
G. Gordon Liddy,bugging political rivals,CS
Ferdinand Magellan,exploring the new world,CS
Sherlock Holmes,finding clues,DS
Jeremy Paxman,deflating political egos,CS
Larry Page,building a search engine,CS
Tom Cruise,jumping on couches,CS
Judas Iscariot,stabbing in the back,CS
René Descartes,spreading philosophy,CS
RuPaul,cross-dressing in women's clothes,CS + DS
P. T. Barnum,promoting circus attractions,CS + DS
Violet Baudelaire,pioneering new technologies,DS
Obi-wan Kenobi,duelling acrobatically,DS
Matt Groening,making cartoons,CS
Mae West,starring in Hollywood movies,CS
Jane Eyre,looking after children,DS
Otto von Bismarck,wielding political power,CS
William the Conqueror,leading armies into battle,CS
Louis Armstrong,singing jazz songs,CS
Thomas Neo Anderson,performing kung-fu moves,DS
Miss Havisham,seeking revenge,DS
Mr. Krabs,pinching pennies,DS
Caitlyn Jenner,campaigning for social causes,CS
Jeff Koons,making modern art,CS + DS
Gordon Ramsay,cursing at kitchen staff,CS
Hannibal Lecter,eating census takers,DS
Anthony Scaramucci,promoting conservative values,CS
Severus Snape,teaching magic,DS
Nancy Drew,solving mysteries,DS
Tony Stark,running a hardware company,DS
David Mamet,writing plays,CS
Severus Snape,teaching the next generation,DS
Sonny Crockett,tracking down criminals,DS
Pablo Escobar,running a smuggling business,CS
Steve Martin,playing the banjo,CS
Mark Fuhrman,lying on the stand,CS
Thomas Neo Anderson,bending spoons,DS
Tony Stark,pioneering new technologies,DS
George Michael,singing pop songs,CS
Perry Mason,defending the innocent,DS
Ray Charles,singing country music,CS
Taylor Swift,singing pop songs,CS + DS
Borat,making documentaries,DS
King Richard III,grabbing power,CS + DS
Tony DiNozzo,finding clues,DS
Madonna,singing pop songs,CS + DS
Richard Dawkins,explaining evolution,CS + DS
King Arthur,running a kingdom,CS
Wyatt Earp,punishing crime,CS
Batman,maintaining a secret identity,DS
Morty Smith,standing up to bullies,DS
Thomas Jefferson,fighting for democracy,CS
Borat,interviewing celebrities,DS
Mr. Spock,studying science,DS
Orson Welles,directing indy movies,CS
Emmeline Pankhurst , fighting for democracy,CS
Lucifer,tempting the innocent,DS
Bernard Madoff,running Ponzi schemes,CS
Ophelia,talking in riddles,DS
Nigel Tufnel,playing rock guitar,DS
Severus Snape,performing magic tricks,DS
Mr. Spock,promoting logical thinking,DS
Anthony Scaramucci,making political gaffes,CS
Sean Hannity,promoting conservative values,CS
Harvey Weinstein,chasing after women,CS + DS
David Mamet,directing movies,CS
Professor Charles Xavier,reading minds,DS
Joseph McCarthy,promoting democracy,CS
Larry Page,running a tech giant,CS
Buffy Summers,killing monsters,DS
Timothy McGee,solving crimes,DS
Anthony Scaramucci,managing hedge funds,CS
Niccolò Machiavelli,wielding political power,CS + DS
Scarlett Johansson,cross-dressing in women's clothes,CS
Sherlock Holmes,solving mysteries,DS
Sonny Crockett,punishing criminals,DS
John Constantine,practicing the Occult,DS
John Travolta,playing camp villains,CS
Batman,punishing criminals,DS
Dr. John Watson,chasing criminals,DS
Louis Armstrong,playing jazz trumpet,CS
Jerry Lee Lewis,marrying underage girls,CS
Edward Scissorhands,trimming bushes,DS
Karen Carpenter,singing pop songs,CS
King David,ruling over subjects,CS + DS
Karen Carpenter,losing weight,CS
Bob Belcher,flipping hamburgers,DS
Tyra Banks,modeling clothes,CS
Buffy Summers,hunting demons,DS
Jeff Koons,making kitsch,CS
Eleanor Roosevelt,campaigning for social causes,CS
Amy Winehouse,singing jazz songs,CS
Charles Foster Kane,publishing newspapers,DS
Kim Jung-un,enriching uranium,CS
Boudicca,instigating rebellion,CS
George Orwell,writing polemics,CS
Ray Kroc,running a multinational corporation,CS
Mrs. Doubtfire,looking after children,DS
Kim Jung-un,issuing threats,CS
Professor Charles Xavier,promoting diversity,DS
Walt Longmire,solving mysteries,CS
Socrates,teaching the next generation,CS
Marc Jacobs,designing clothes,CS
Ophelia,singing bawdy songs,DS
J. Edgar Hoover,running the FBI,CS
Hillary Clinton,running for the senate,CS + DS
Bernard Madoff,running pyramid schemes,CS + DS
Ferdinand Magellan,searching for a new world,CS + DS
Colin Farrell,starring in indy movies,CS
Bridget Jones,reading self-help books,DS
Tina Turner,writing rock songs,CS
Joseph McCarthy,fighting for democracy,CS + DS
G. Gordon Liddy,pulling dirty political tricks,CS + DS
Gustavo Fring,selling chrystal meth,DS
Bette Midler,over-acting,CS + DS
Ray Charles,writing pop songs,CS + DS
Beetlejuice,causing mayhem,DS
Ron Burgundy,maintaining salon-quality hair,DS
Fletcher Christian,plotting mutinies,CS
Oprah Winfrey,running a media empire,CS + DS
Russell Brand,doing stand-up,CS
Dr. Greg House,diagnosing diseases,DS
Archimedes,studying mathematics,CS
Michael Myers,slashing victims,DS
Marty McFly,playing rock music,DS
G. Gordon Liddy,promoting conservative values,CS
Matt Daredevil Murdock,pursuing criminals,DS
Lord Voldemort,tormenting muggles,DS
Frank Columbo,solving crimes,DS
Marty McFly,playing rock guitar,DS
John Rambo,rescuing prisoners of war,DS
Charles Foster Kane,running a newspaper empire,DS
Orson Welles,directing Hollywood movies,CS
Harry Potter,playing quidditch,DS
Colin Farrell,womanizing,CS
Lance Armstrong,taking anabolic steroids,CS
Dean Winchester,hunting demons,DS
Truman Capote,writing modern fiction,CS
O.J. Simpson,signing sports memorabilia,CS
Galileo Galilei,promoting Heliocentrism,CS
Han Solo,smuggling contraband,DS
Gordon Ramsay,winning Michelin stars,CS
Steve Jobs,developing new technologies ,CS
Katy Perry,singing pop songs,CS
Judge Joe Dredd,punishing criminals,DS
Gustavo Fring,selling fried chicken,DS
Louis Armstrong,playing the trumpet,CS
Saint Peter,promoting conservative values,CS + DS
Walt Disney,running theme parks,CS
Harry Potter,studying magic tricks,DS
Severus Snape,running a school for gifted teens,DS
Sherlock Holmes,interpreting evidence,DS
Martin Luther King,promoting pacifism,CS
Gordon Ramsay,cooking fancy food,CS
Dean Winchester,hunting monsters,DS
Sean Hannity,spreading political gossip,CS
Orville Wright,testing new technologies,CS
Niccolò Machiavelli,developing cunning plans,CS
Le Chiffre,cheating at poker,DS
Mark Fuhrman,abusing minorities,CS
Nigel Tufnel,playing rock music,DS
Michael O'Leary,selling cheap airline seats,CS
Cher,singing pop songs,CS
Charles Foster Kane,running for governor,DS
Che Guevara,spreading revolution,CS
Bridget Jones,reading Cosmopolitan,DS
Freddie Mercury,cross-dressing in women's clothes,CS
Jesus Christ,healing the sick,CS
Jack The Ripper,slashing victims,CS
King Arthur,ruling over subjects,CS + DS
Tyler Durden,stealing human fat,DS
Frank Columbo,tricking criminals,DS
Bono,singing rock songs,CS
Severus Snape,brewing magican potions,DS
Sam Winchester,hunting demons,DS
Barney Stinson,seducing women,DS
Barney Gumble,driving under the influence,DS
Steve Martin,performing stand-up,CS
Rush Limbaugh,ranting about liberals,CS
Judge Judy Sheindlin,rooting out facts,CS + DS
Inspector Jacques Clouseau,solving mysteries,DS
Tyler Durden,engaging in bare-knuckle fighting,DS
Saga Norén,solving mysteries,DS
Uriah Heap,cooking the books,DS
Thomas Jefferson,wielding political power,CS
Tony Stark,running a multinational corporation,DS
Bruce Wayne,attending cocktail parties,DS
Salman Rushdie,writing modern fiction,CS
Fletcher Christian,undermining authority,CS + DS
Dorian Gray,gadding about town,DS
Orville Wright,promoting new technologies,CS
Dorothy Parker,making witty remarks,CS
Samwise Gamgee,tending the garden,DS
Professor Charles Xavier,promoting tolerance,DS
Henry Ford,running assembly lines,CS
Matt Daredevil Murdock,tricking criminals,DS
Popeye,promoting healthy eating,DS
Sam Winchester,killing demons,DS
William Randolph Hearst,publishing newspapers,CS + DS
Morgana Le Fay,brewing magican potions,DS
Steve Jobs,terrorizing employees,CS
Beatrix Potter,drawing whimsical cartoons,CS + DS
King Richard III,amassing wealth,CS
Han Solo,piloting the Millenium Falcon,DS
Freddie Mercury,singing pop songs,CS
King Arthur,fighting with swords,CS
Han Solo,fighting for the rebel alliance,DS
Leon Trotsky,promoting communism,CS
Freddy Krueger,slashing victims,DS
Howard Hughes,hiding from the public,CS
Lance Armstrong,pedalling furiously,CS
Bridget Jones,looking for love,DS
Sitting Bull,spreading revolution,CS
Freddie Mercury,writing pop songs,CS
Wilbur Wright,developing new technologies ,CS
Croesus,running an empire,CS
John Travolta,dancing to disco music,CS
Timothy McGee,solving mysteries,DS
William Randolph Hearst,telling politicians what to do,CS
Truman Capote,writing short stories,CS
Ray Kroc,running a fast-food business,CS
Jason Bourne,killing people in ingenious ways,DS
Ron Burgundy,reading the news,DS
Darth Maul,fighting the forces of good,DS
Rush Limbaugh,spreading political gossip,CS + DS
General Zod,striving for world domination,DS
Peter Rabbit,eating carrots,DS
Sauron,building an army,DS
R2D2,eluding imperial storm-troopers,DS
Jack The Ripper,eluding authorities,CS
Katniss Everdeen,instigating rebellion,DS
