Sheldon Cooper,creating annoying rules,DS
Sean Hannity,interviewing politicians,CS
Queen Elizabeth I,ruling over subjects,CS
Warren Buffett,running a business empire,CS + DS
Chris Rock,cross-dressing in women's clothes,CS
Julian Assange,decrying secrecy,CS
Mark Zuckerberg,changing privacy settings,CS + DS
Hannibal Lecter,eating census takers,DS
Hedda Hopper,ranting about liberals,CS + DS
Hannibal Lecter,eating people,DS
Roy Batty,looking for immortality,DS
Sheldon Cooper,collecting comic books,DS
Warren Buffett,giving investment advice,CS
Michael Bay,directing robot movies,CS
Sheldon Cooper,studying science,DS
Daniel Craig,playing James Bond,CS + DS
Sean Hannity,spreading political gossip,CS
Sheldon Cooper,promoting science,DS
Oscar Wilde,coining epigrams,CS
Kim Jung-un,issuing threats,CS
Ridley Scott,directing science fiction movies,CS + DS
Julian Assange,promoting openness,CS
Bridget Jones,drinking too much red wine,DS
Roy Batty,avoiding retirement,DS
Judge Joe Dredd,punishing criminals,DS
Sean Hannity,promoting conservative values,CS
Judge Joe Dredd,solving crimes,DS
Kim Jung-un,crushing dissent,CS + DS
Julian Assange,hacking into computers,CS
Sean Hannity,ranting about liberals,CS
Ridley Scott,making fantasy movies,CS
George Clooney,womanizing,CS
Liza Minnelli,over-acting,CS
Bridget Jones,keeping a diary,DS
Kim Jung-un,amassing nuclear weapons,CS
Dr. Greg House,treating diseases,DS
Sammy Davis Jr.,singing pop songs,CS
Queen Elizabeth I,running a kingdom,CS
Ridley Scott,making science fiction movies,CS
Judge Joe Dredd,preventing crime,DS
King Henry VIII,trading in wives,CS
Dr. Greg House,interpreting evidence,DS
Dr. Greg House,finding clues,DS
Judge Joe Dredd,tracking down criminals,DS
Michael Bay,entertaining teenagers,CS + DS
Sergey Brin,building a search engine,CS + DS
Marcel Duchamp,challenging artistic norms,CS
Michael Bay,directing action movies,CS
Sarah Palin,making political gaffes,CS
Kal El,reporting the news,DS
Sherlock Holmes,solving mysteries,DS
Hannibal Lecter,eluding FBI profilers,DS
Marcel Duchamp,puncturing artistic sensibilities,CS
Julian Assange,leaking classified documents,CS
Winona Ryder,starring in Hollywood movies,CS + DS
Oscar Wilde,writing plays,CS
Johnny Depp,starring in Hollywood movies,CS
Hedda Hopper,promoting conservative values,CS
Dr. Greg House,solving mysteries,DS
Sean Hannity,interviewing celebrities,CS
Bridget Jones,smoking cigarettes,DS
Loki Laufeyson,devising evil schemes,DS
Warren Buffett,investing money,CS
Daniel Craig,starring in action movies,CS
Bridget Jones,looking for love,DS
Marcel Duchamp,making subversive art,CS
Loki Laufeyson,plotting against family members,DS
Sergey Brin,running a tech giant,CS
Julian Assange,leaking state secrets,CS
Dr. Greg House,twirling a cane,DS
Sammy Davis Jr.,writing pop songs,CS
Liza Minnelli,singing torch songs,CS
Daniel Craig,starring in indy movies,CS
George Clooney,starring in indy movies,CS + DS
Sergey Brin,performing Web searches,CS
Oscar Wilde,scandalizing polite society,CS
Bridget Jones,counting calories,DS
Sherlock Holmes,finding clues,DS
George Clooney,starring in Hollywood movies,CS
Hedda Hopper,spreading political gossip,CS
Kim Jung-un,enriching uranium,CS
Sarah Palin,ranting about liberals,CS
Sherlock Holmes,solving crimes,DS
Oscar Wilde,coining sparkling witticisms,CS
Dr. Greg House,diagnosing diseases,DS
George Clooney,promoting political causes,CS
Oscar Wilde,writing short stories,CS
Marcel Duchamp,reusing readymades,CS + DS
Mark Zuckerberg,hanging out on Facebook,CS
Sherlock Holmes,interpreting evidence,DS
